Zip,Total Cases,Deaths
62411,"1,607",N/A
62413,141,N/A
62414,620,N/A
62417,"1,209",N/A
62418,718,N/A
62419,123,N/A
62420,"1,610",N/A
62421,242,N/A
62422,363,N/A
62423,180,N/A
62424,708,N/A
62425,203,N/A
62426,314,N/A
62427,444,N/A
62428,"1,072",N/A
62431,340,N/A
62432,230,N/A
62433,308,N/A
62434,100,N/A
62436,206,N/A
62438,113,N/A
62439,"2,646",N/A
62440,399,N/A
62441,"2,618",N/A
62442,807,N/A
62443,506,N/A
62444,127,N/A
62445,305,N/A
62446,139,N/A
62447,"1,189",N/A
62448,"1,942",N/A
62449,"1,043",N/A
62450,"4,619",N/A
62451,698,N/A
62452,134,N/A
62454,"4,755",N/A
62458,895,N/A
62459,62,N/A
62460,353,N/A
62461,291,N/A
62462,316,N/A
62463,371,N/A
62464,25,N/A
62465,260,N/A
62466,"2,118",N/A
62467,"1,182",N/A
62468,901,N/A
62469,171,N/A
62471,"4,171",N/A
62473,454,N/A
62474,273,N/A
62475,87,N/A
62476,513,N/A
62477,273,N/A
62478,123,N/A
62479,237,N/A
62480,196,N/A
62481,100,N/A
62501,784,N/A
62510,467,N/A
62512,135,N/A
62513,508,N/A
62514,66,N/A
62515,322,N/A
62517,60,N/A
62518,138,N/A
62519,24,N/A
62520,504,N/A
62521,"12,319",N/A
62522,"4,618",N/A
62523,280,N/A
62524,96,N/A
62525,59,N/A
62526,"11,492",N/A
62530,456,N/A
62531,564,N/A
62532,25,N/A
62533,331,N/A
62534,351,N/A
62535,"1,268",N/A
62536,321,N/A
62537,67,N/A
62538,121,N/A
62539,410,N/A
62540,459,N/A
62541,16,N/A
62543,144,N/A
62544,622,N/A
62545,419,N/A
62546,492,N/A
62547,210,N/A
62548,738,N/A
62549,"2,311",N/A
62550,956,N/A
62551,241,N/A
62553,139,N/A
62554,560,N/A
62555,158,N/A
62556,104,N/A
62557,"2,428",N/A
62558,"1,187",N/A
62560,518,N/A
62561,"1,990",N/A
62563,"2,267",N/A
62565,"2,575",N/A
62567,343,N/A
62568,"6,385",N/A
62570,140,N/A
62571,388,N/A
62572,177,N/A
62573,480,N/A
62601,124,N/A
62610,46,N/A
62611,319,N/A
62612,669,N/A
62613,"1,354",N/A
62615,"2,008",N/A
62617,218,N/A
62618,"3,287",N/A
62620,14,N/A
62621,314,N/A
62622,17,N/A
62624,138,N/A
62625,321,N/A
62626,"2,999",N/A
62627,353,N/A
62628,249,N/A
62629,"5,295",N/A
62630,156,N/A
62631,89,N/A
62633,196,N/A
62634,295,N/A
62635,251,N/A
62638,398,N/A
62639,89,N/A
62640,"1,118",N/A
62642,459,N/A
62643,170,N/A
62644,"1,654",N/A
62649,160,N/A
62650,"8,851",N/A
62651,38,N/A
62655,142,N/A
62656,"8,279",N/A
62658,18,N/A
62661,385,N/A
62663,93,N/A
62664,"1,008",N/A
62665,391,N/A
62666,174,N/A
62667,154,N/A
62668,417,N/A
62670,"1,039",N/A
62671,159,N/A
62672,69,N/A
62673,149,N/A
62674,362,N/A
62675,"2,017",N/A
62677,874,N/A
62681,"1,883",N/A
62682,308,N/A
62684,"2,195",N/A
62685,561,N/A
62688,208,N/A
62689,175,N/A
62690,"1,293",N/A
62691,874,N/A
62692,627,N/A
62693,694,N/A
62694,895,N/A
62695,142,N/A
62701,353,N/A
62702,"11,957",N/A
62703,"10,474",N/A
62704,"13,373",N/A
62705,46,N/A
62706,17,N/A
62707,"2,639",N/A
62708,91,N/A
62711,"6,057",N/A
62712,"3,610",N/A
62769,13,N/A
62781,15,N/A
62791,84,N/A
62794,33,N/A
62801,"8,087",N/A
62803,275,N/A
62806,"1,061",N/A
62807,297,N/A
62808,405,N/A
62809,89,N/A
62810,288,N/A
62811,102,N/A
62812,"4,004",N/A
62814,564,N/A
62815,116,N/A
62816,384,N/A
62817,170,N/A
62818,85,N/A
62819,163,N/A
62820,42,N/A
62821,"2,688",N/A
62822,"1,156",N/A
62823,709,N/A
62824,656,N/A
62825,68,N/A
62827,354,N/A
62828,385,N/A
62830,448,N/A
62831,134,N/A
