_time,totalNewCases,totalNewTests,undergradCases,undergradTests,gradCases,gradTests,facStaffCases,facStaffTests
Fri Sep 10 00:00:00 2021,13,3713,10,2276,0,387,3,927
Sat Sep 11 00:00:00 2021,6,1293,3,943,1,136,2,176
Sun Sep 12 00:00:00 2021,8,2175,5,1532,1,239,2,313
Mon Sep 13 00:00:00 2021,11,4134,8,2509,1,500,2,1007
Tue Sep 14 00:00:00 2021,5,3455,3,2188,0,361,2,770
Wed Sep 15 00:00:00 2021,10,3213,5,2141,1,346,4,583
Thu Sep 16 00:00:00 2021,5,3603,3,2354,0,410,2,765
Fri Sep 17 00:00:00 2021,2,2972,1,1669,0,357,1,807
Sat Sep 18 00:00:00 2021,1,998,1,689,0,104,0,162
Sun Sep 19 00:00:00 2021,2,1871,1,1334,0,192,0,291
Mon Sep 20 00:00:00 2021,10,3890,4,2266,2,487,3,964
Tue Sep 21 00:00:00 2021,6,2996,4,1877,0,329,2,683
Wed Sep 22 00:00:00 2021,2,2948,1,2024,0,273,1,516
Thu Sep 23 00:00:00 2021,10,3151,5,1956,2,336,2,714
Fri Sep 24 00:00:00 2021,7,3394,5,2046,0,342,2,809
Sat Sep 25 00:00:00 2021,5,935,3,624,0,112,2,156
Sun Sep 26 00:00:00 2021,5,1703,4,1225,0,184,1,242
Mon Sep 27 00:00:00 2021,10,3653,4,2107,2,395,4,904
Tue Sep 28 00:00:00 2021,8,2965,2,1827,1,328,4,705
Wed Sep 29 00:00:00 2021,7,2657,4,1776,0,232,2,507
Thu Sep 30 00:00:00 2021,4,2941,4,1803,0,273,0,693
Fri Oct  1 00:00:00 2021,3,2478,0,1356,1,258,2,704
Sat Oct  2 00:00:00 2021,1,675,0,447,0,71,1,123
Sun Oct  3 00:00:00 2021,1,1487,1,1013,0,149,0,270
Mon Oct  4 00:00:00 2021,4,3188,1,1860,0,322,3,832
Tue Oct  5 00:00:00 2021,8,2338,5,1387,1,248,2,623
Wed Oct  6 00:00:00 2021,8,2469,5,1616,1,224,2,493
Thu Oct  7 00:00:00 2021,5,2617,4,1623,0,277,0,590
Fri Oct  8 00:00:00 2021,6,2481,2,1348,0,244,3,701
Sat Oct  9 00:00:00 2021,2,731,1,501,0,93,1,111
Sun Oct 10 00:00:00 2021,5,1442,4,1053,0,139,1,203
Mon Oct 11 00:00:00 2021,12,2678,10,1559,0,288,0,706
Tue Oct 12 00:00:00 2021,5,2470,1,1511,0,238,3,613
Wed Oct 13 00:00:00 2021,1,2133,1,1347,0,188,0,462
Thu Oct 14 00:00:00 2021,3,2395,2,1532,1,196,0,540
Fri Oct 15 00:00:00 2021,8,3143,6,2033,0,286,1,666
Sat Oct 16 00:00:00 2021,1,867,0,622,0,95,1,122
Sun Oct 17 00:00:00 2021,1,1135,1,810,0,103,0,191
Mon Oct 18 00:00:00 2021,8,2885,3,1583,3,326,2,866
Tue Oct 19 00:00:00 2021,3,2391,1,1555,0,232,2,518
Wed Oct 20 00:00:00 2021,2,2624,1,1488,1,237,0,768
Thu Oct 21 00:00:00 2021,2,2314,2,1461,0,176,0,510
Fri Oct 22 00:00:00 2021,1,2250,0,1239,0,169,1,703
Sat Oct 23 00:00:00 2021,0,702,0,479,0,66,0,121
Sun Oct 24 00:00:00 2021,5,1140,3,808,1,103,1,185
Mon Oct 25 00:00:00 2021,4,2605,3,1371,0,217,1,898
Tue Oct 26 00:00:00 2021,10,2057,6,1294,1,201,3,477
Wed Oct 27 00:00:00 2021,15,2384,13,1339,0,226,1,712
Thu Oct 28 00:00:00 2021,11,2180,9,1427,1,190,1,443
Fri Oct 29 00:00:00 2021,6,2549,6,1448,0,240,0,713
Sat Oct 30 00:00:00 2021,4,613,3,428,0,63,1,103
Sun Oct 31 00:00:00 2021,7,1123,5,780,1,100,1,191
Mon Nov  1 00:00:00 2021,18,2610,15,1444,2,251,1,840
Tue Nov  2 00:00:00 2021,32,2445,25,1561,2,285,5,484
Wed Nov  3 00:00:00 2021,46,2728,38,1659,5,251,3,735
Thu Nov  4 00:00:00 2021,25,2713,24,1787,0,203,1,524
Fri Nov  5 00:00:00 2021,34,3094,29,2060,1,208,2,706
Sat Nov  6 00:00:00 2021,20,951,16,695,4,109,0,113
Sun Nov  7 00:00:00 2021,21,1675,15,1300,2,118,4,213
Mon Nov  8 00:00:00 2021,42,3438,28,2057,3,327,10,893
Tue Nov  9 00:00:00 2021,26,2677,18,1910,3,210,4,448
Wed Nov 10 00:00:00 2021,26,3097,22,1909,2,303,2,760
Thu Nov 11 00:00:00 2021,19,2932,15,1973,4,295,0,494
Fri Nov 12 00:00:00 2021,17,2976,12,1873,0,266,4,719
Sat Nov 13 00:00:00 2021,10,1069,7,778,1,103,2,150
Sun Nov 14 00:00:00 2021,9,1552,6,1139,1,143,2,232
Mon Nov 15 00:00:00 2021,17,3322,10,2053,1,336,6,834
Tue Nov 16 00:00:00 2021,5,2742,2,1843,2,265,1,525
Wed Nov 17 00:00:00 2021,22,3159,14,2049,1,269,5,754
Thu Nov 18 00:00:00 2021,17,3314,12,2272,0,324,5,570
Fri Nov 19 00:00:00 2021,11,2837,7,1651,1,299,1,723
Sat Nov 20 00:00:00 2021,1,607,1,304,0,103,0,162
Sun Nov 21 00:00:00 2021,7,609,3,230,0,106,4,215
Mon Nov 22 00:00:00 2021,13,1293,4,174,0,161,9,842
Tue Nov 23 00:00:00 2021,7,1098,2,166,1,179,4,575
Wed Nov 24 00:00:00 2021,5,1214,0,94,0,152,5,751
Sat Nov 27 00:00:00 2021,10,540,1,214,0,124,8,166
Sun Nov 28 00:00:00 2021,30,2102,19,1178,5,279,6,480
Mon Nov 29 00:00:00 2021,50,3696,27,1842,6,491,16,1196
Tue Nov 30 00:00:00 2021,41,2366,27,1357,2,320,11,591
Wed Dec  1 00:00:00 2021,37,2648,17,1485,4,271,14,815
Thu Dec  2 00:00:00 2021,26,2615,17,1508,3,276,5,578
Fri Dec  3 00:00:00 2021,22,2705,13,1552,1,257,6,769
Sat Dec  4 00:00:00 2021,13,1010,12,680,0,114,1,174
Sun Dec  5 00:00:00 2021,20,1251,16,768,1,148,3,261
Mon Dec  6 00:00:00 2021,20,3288,11,1937,4,330,5,924
Tue Dec  7 00:00:00 2021,32,2249,19,1366,5,250,7,535
Wed Dec  8 00:00:00 2021,33,2730,20,1521,4,290,6,798
Thu Dec  9 00:00:00 2021,22,2339,13,1270,0,322,6,566
Fri Dec 10 00:00:00 2021,22,2389,11,1079,1,290,9,836
Sat Dec 11 00:00:00 2021,11,919,7,461,1,165,3,222
Sun Dec 12 00:00:00 2021,15,1443,9,807,2,209,4,289
Mon Dec 13 00:00:00 2021,40,2655,12,1141,11,354,16,965
Tue Dec 14 00:00:00 2021,40,2215,25,1074,5,356,9,604
Wed Dec 15 00:00:00 2021,51,2613,36,1147,6,372,9,924
Thu Dec 16 00:00:00 2021,51,2711,32,1356,7,382,9,722
Fri Dec 17 00:00:00 2021,51,2856,36,1273,3,467,11,1008
Sat Dec 18 00:00:00 2021,43,1178,36,621,5,213,2,289
Sun Dec 19 00:00:00 2021,51,1119,32,373,15,303,4,370
Mon Dec 20 00:00:00 2021,73,2080,43,396,9,448,20,1123
Tue Dec 21 00:00:00 2021,97,1719,60,361,19,359,17,881
Wed Dec 22 00:00:00 2021,92,2197,48,404,19,413,22,1239
Thu Dec 23 00:00:00 2021,72,2516,31,404,19,488,15,1420
Sun Dec 26 00:00:00 2021,100,990,42,209,16,225,31,451
Mon Dec 27 00:00:00 2021,138,1419,59,337,27,316,41,617
Tue Dec 28 00:00:00 2021,101,1308,36,318,34,339,23,527
Wed Dec 29 00:00:00 2021,136,1657,55,348,30,355,43,815
Thu Dec 30 00:00:00 2021,131,2228,50,454,28,508,43,1088
Sun Jan  2 00:00:00 2022,138,1622,46,370,36,400,53,720
Mon Jan  3 00:00:00 2022,282,3822,88,667,61,1027,111,1836
Tue Jan  4 00:00:00 2022,205,3602,42,601,54,891,85,1844
Wed Jan  5 00:00:00 2022,217,4428,44,674,60,929,96,2495
Thu Jan  6 00:00:00 2022,139,3024,50,564,45,836,39,1399
Fri Jan  7 00:00:00 2022,130,3040,53,531,24,780,48,1483
Sat Jan  8 00:00:00 2022,53,1233,29,286,13,352,7,461
Sun Jan  9 00:00:00 2022,95,1848,28,447,34,516,30,665
Mon Jan 10 00:00:00 2022,212,4791,68,1152,61,1254,69,2021
Tue Jan 11 00:00:00 2022,130,3328,38,871,25,928,55,1205
Wed Jan 12 00:00:00 2022,138,3779,45,1019,33,912,45,1490
Thu Jan 13 00:00:00 2022,110,3602,47,1099,21,893,31,1231
Fri Jan 14 00:00:00 2022,117,4429,41,1441,31,1007,33,1586
Sat Jan 15 00:00:00 2022,113,2882,59,1600,29,648,17,467
Sun Jan 16 00:00:00 2022,180,5576,128,4063,22,704,15,579
Mon Jan 17 00:00:00 2022,232,7349,175,5573,29,858,23,624
Tue Jan 18 00:00:00 2022,284,7243,181,4690,28,824,66,1377
Wed Jan 19 00:00:00 2022,192,5448,122,3331,16,697,45,1072
Thu Jan 20 00:00:00 2022,158,4910,99,2980,19,673,32,961
Fri Jan 21 00:00:00 2022,161,5404,99,3329,26,679,26,1051
Sat Jan 22 00:00:00 2022,122,4004,94,2926,10,466,16,432
Sun Jan 23 00:00:00 2022,191,5113,143,3798,20,573,23,548
Mon Jan 24 00:00:00 2022,249,5347,187,3032,22,666,34,1285
Tue Jan 25 00:00:00 2022,238,3813,184,2350,20,450,26,755
Wed Jan 26 00:00:00 2022,230,4240,180,2445,18,496,24,982
Thu Jan 27 00:00:00 2022,186,4094,145,2441,17,502,14,819
Fri Jan 28 00:00:00 2022,116,3886,86,2050,9,524,14,1008
Sat Jan 29 00:00:00 2022,75,1459,49,896,7,196,17,289
Sun Jan 30 00:00:00 2022,95,2215,70,1343,6,326,11,402
Mon Jan 31 00:00:00 2022,213,4579,153,2479,18,550,25,1185
Tue Feb  1 00:00:00 2022,287,5137,238,3598,28,471,10,752
Thu Feb  3 00:00:00 2022,101,1600,93,1448,5,90,1,33
Fri Feb  4 00:00:00 2022,137,3262,117,2442,8,260,8,460
Sat Feb  5 00:00:00 2022,49,1484,37,1098,3,140,8,159
Sun Feb  6 00:00:00 2022,80,2683,67,2017,4,223,7,297
Mon Feb  7 00:00:00 2022,116,4826,93,3155,6,397,16,994
Tue Feb  8 00:00:00 2022,71,3534,53,2416,12,343,5,538
Wed Feb  9 00:00:00 2022,62,3686,43,2388,9,324,8,756
Thu Feb 10 00:00:00 2022,30,3788,23,2493,2,402,3,556
Fri Feb 11 00:00:00 2022,33,3429,26,2097,1,332,3,762
Sat Feb 12 00:00:00 2022,16,1165,12,815,3,113,1,171
Sun Feb 13 00:00:00 2022,10,1503,4,1057,2,141,3,200
Mon Feb 14 00:00:00 2022,29,3488,18,2157,5,314,5,819
Tue Feb 15 00:00:00 2022,24,2753,15,1712,0,288,8,514
Wed Feb 16 00:00:00 2022,29,3019,18,1882,2,276,6,670
Thu Feb 17 00:00:00 2022,16,1360,9,839,3,107,3,232
Fri Feb 18 00:00:00 2022,19,2962,16,2065,3,252,0,424
Sat Feb 19 00:00:00 2022,5,821,3,520,0,98,2,138
Sun Feb 20 00:00:00 2022,18,1385,13,973,4,132,1,181
Mon Feb 21 00:00:00 2022,47,3265,34,1961,10,306,2,806
Tue Feb 22 00:00:00 2022,13,2425,10,1495,1,241,2,472
Wed Feb 23 00:00:00 2022,10,2425,2,1438,4,211,3,588
Thu Feb 24 00:00:00 2022,6,2099,3,1317,1,221,1,374
Fri Feb 25 00:00:00 2022,14,2375,8,1338,4,227,1,598
Sat Feb 26 00:00:00 2022,0,735,0,492,0,74,0,125
Sun Feb 27 00:00:00 2022,11,1166,8,738,1,137,2,213
Mon Feb 28 00:00:00 2022,6,2789,2,1634,2,264,2,723
Tue Mar  1 00:00:00 2022,9,2027,5,1249,2,208,1,400
Wed Mar  2 00:00:00 2022,3,2260,1,1368,1,207,1,580
Thu Mar  3 00:00:00 2022,1,2162,0,1442,0,184,1,381
Fri Mar  4 00:00:00 2022,4,2205,2,1271,0,158,2,576
Sat Mar  5 00:00:00 2022,1,724,0,514,0,62,1,111
Sun Mar  6 00:00:00 2022,5,1094,2,766,1,114,2,152
Mon Mar  7 00:00:00 2022,12,2550,8,1430,3,238,0,704
Tue Mar  8 00:00:00 2022,13,1951,8,1246,2,191,3,359
Wed Mar  9 00:00:00 2022,7,2249,4,1324,2,243,1,590
Thu Mar 10 00:00:00 2022,3,2029,1,1232,0,235,0,407
Fri Mar 11 00:00:00 2022,5,1751,2,912,2,246,1,519
Sat Mar 12 00:00:00 2022,3,372,0,158,2,89,0,101
Sun Mar 13 00:00:00 2022,0,279,0,53,0,77,0,120
Mon Mar 14 00:00:00 2022,3,815,1,83,0,113,1,529
Tue Mar 15 00:00:00 2022,5,495,3,60,0,98,2,285
Wed Mar 16 00:00:00 2022,4,641,1,72,1,111,2,422
Thu Mar 17 00:00:00 2022,7,676,2,196,1,115,4,290
Fri Mar 18 00:00:00 2022,4,641,1,143,1,86,2,370
Sat Mar 19 00:00:00 2022,10,591,6,272,2,113,1,139
Sun Mar 20 00:00:00 2022,28,2561,20,1884,4,234,3,287
Mon Mar 21 00:00:00 2022,30,5704,19,4472,5,391,5,713
Tue Mar 22 00:00:00 2022,35,3757,23,3079,6,254,4,340
Wed Mar 23 00:00:00 2022,28,3664,19,2993,6,261,3,354
Thu Mar 24 00:00:00 2022,24,4384,17,3722,5,250,2,309
Fri Mar 25 00:00:00 2022,15,4787,13,4141,0,215,1,354
Sat Mar 26 00:00:00 2022,3,725,2,517,0,74,1,101
Sun Mar 27 00:00:00 2022,10,1267,5,906,3,105,1,162
Mon Mar 28 00:00:00 2022,75,4473,57,3660,9,248,8,476
Tue Mar 29 00:00:00 2022,53,2739,41,2103,7,223,5,366
Wed Mar 30 00:00:00 2022,58,3658,49,3128,5,187,3,286
Thu Mar 31 00:00:00 2022,32,2881,24,2294,5,168,3,306
Fri Apr  1 00:00:00 2022,11,1854,8,1318,2,138,0,355
Sat Apr  2 00:00:00 2022,10,533,6,361,2,58,1,87
Sun Apr  3 00:00:00 2022,13,912,10,630,0,76,3,146
Mon Apr  4 00:00:00 2022,65,2710,42,1870,9,228,13,500
Tue Apr  5 00:00:00 2022,42,1926,26,1354,6,177,9,331
Wed Apr  6 00:00:00 2022,44,1816,31,1277,10,153,3,329
Thu Apr  7 00:00:00 2022,56,1962,39,1303,5,197,9,344
Fri Apr  8 00:00:00 2022,46,1622,32,1023,8,180,6,331
Sat Apr  9 00:00:00 2022,31,581,25,378,3,64,3,112
Sun Apr 10 00:00:00 2022,55,924,46,589,4,93,5,180
Mon Apr 11 00:00:00 2022,154,2766,119,1834,20,294,14,542
Tue Apr 12 00:00:00 2022,173,2656,142,1942,19,276,10,374
Wed Apr 13 00:00:00 2022,138,2622,120,1917,13,278,5,382
Thu Apr 14 00:00:00 2022,104,3346,77,2350,16,396,7,418
Fri Apr 15 00:00:00 2022,70,2644,57,1863,8,281,3,417
Sat Apr 16 00:00:00 2022,39,929,29,631,2,115,8,155
Mon Apr 18 00:00:00 2022,122,3055,89,2039,14,334,16,606
Tue Apr 19 00:00:00 2022,106,2208,75,1478,11,280,16,380
Wed Apr 20 00:00:00 2022,65,2178,42,1529,9,239,14,359
Thu Apr 21 00:00:00 2022,55,1965,38,1293,5,240,10,351
Fri Apr 22 00:00:00 2022,50,2092,38,1349,4,256,8,398
Sat Apr 23 00:00:00 2022,15,624,11,372,2,108,2,111
Sun Apr 24 00:00:00 2022,31,741,18,455,1,94,10,150
Mon Apr 25 00:00:00 2022,68,2297,49,1484,7,261,9,495
Tue Apr 26 00:00:00 2022,75,1982,50,1301,12,234,8,389
Wed Apr 27 00:00:00 2022,42,1957,32,1301,2,197,8,413
Thu Apr 28 00:00:00 2022,36,1866,25,1185,3,204,7,373
Fri Apr 29 00:00:00 2022,30,1751,10,1120,11,189,7,391
Sat Apr 30 00:00:00 2022,15,460,6,257,0,80,8,93
Sun May  1 00:00:00 2022,32,684,18,376,5,104,6,156
Mon May  2 00:00:00 2022,36,1773,16,936,9,245,11,523
Tue May  3 00:00:00 2022,82,1519,47,846,13,238,21,391
Wed May  4 00:00:00 2022,87,1738,46,941,19,295,19,430
Thu May  5 00:00:00 2022,53,1297,26,638,11,219,14,356
Fri May  6 00:00:00 2022,58,1612,21,810,10,253,24,456
Sat May  7 00:00:00 2022,14,559,5,284,6,117,2,130
Sun May  8 00:00:00 2022,37,524,15,250,11,103,11,144
Mon May  9 00:00:00 2022,67,1615,26,679,10,275,29,607
Tue May 10 00:00:00 2022,52,1330,27,601,10,210,13,446
Wed May 11 00:00:00 2022,55,1185,22,567,12,203,19,371
Thu May 12 00:00:00 2022,41,1296,24,616,10,240,5,348
Fri May 13 00:00:00 2022,45,1388,26,682,11,221,6,427
Sat May 14 00:00:00 2022,14,408,6,218,5,96,3,76
Sun May 15 00:00:00 2022,30,459,8,181,13,114,6,119
Mon May 16 00:00:00 2022,52,940,11,271,14,240,26,390
Tue May 17 00:00:00 2022,33,773,7,217,10,164,15,346
Wed May 18 00:00:00 2022,33,690,10,156,7,187,13,302
Thu May 19 00:00:00 2022,32,752,5,176,8,191,15,306
Fri May 20 00:00:00 2022,34,682,8,126,12,156,13,337
Sat May 21 00:00:00 2022,15,295,7,77,2,82,6,112
Sun May 22 00:00:00 2022,16,171,4,39,3,37,8,75
Mon May 23 00:00:00 2022,47,790,13,148,12,188,20,407
Tue May 24 00:00:00 2022,32,658,8,124,6,132,17,351
Wed May 25 00:00:00 2022,29,563,7,99,12,147,7,276
Thu May 26 00:00:00 2022,28,540,7,101,10,139,10,272
Fri May 27 00:00:00 2022,33,639,10,127,9,149,14,327
Sat May 28 00:00:00 2022,15,273,4,64,5,80,5,110
Tue May 31 00:00:00 2022,82,1040,21,194,25,243,31,525
Wed Jun  1 00:00:00 2022,58,648,14,126,18,177,19,303
Thu Jun  2 00:00:00 2022,35,716,12,126,7,185,13,364
Fri Jun  3 00:00:00 2022,40,710,10,120,11,177,17,379
Mon Jun  6 00:00:00 2022,52,810,7,130,13,196,26,436
Tue Jun  7 00:00:00 2022,26,556,8,97,4,125,14,299
Wed Jun  8 00:00:00 2022,26,539,7,106,3,112,14,283
Thu Jun  9 00:00:00 2022,36,589,13,134,6,158,15,273
Fri Jun 10 00:00:00 2022,26,590,5,87,5,131,13,341
Mon Jun 13 00:00:00 2022,46,703,6,131,17,156,22,396
Tue Jun 14 00:00:00 2022,36,501,11,84,11,113,13,283
Wed Jun 15 00:00:00 2022,26,485,3,74,8,102,14,278
Thu Jun 16 00:00:00 2022,15,590,2,109,4,138,9,322
Mon Jun 20 00:00:00 2022,47,807,8,135,17,209,20,439
Tue Jun 21 00:00:00 2022,25,489,1,83,11,136,10,248
Wed Jun 22 00:00:00 2022,24,508,7,86,6,136,10,257
Thu Jun 23 00:00:00 2022,19,523,5,117,5,116,9,264
Fri Jun 24 00:00:00 2022,22,552,7,91,4,141,10,296
Mon Jun 27 00:00:00 2022,50,755,6,111,17,198,26,418
Tue Jun 28 00:00:00 2022,39,484,5,91,16,107,16,264
Wed Jun 29 00:00:00 2022,30,472,6,80,11,119,11,255
Thu Jun 30 00:00:00 2022,32,506,8,103,15,135,9,245
Fri Jul  1 00:00:00 2022,26,548,6,86,5,131,13,301
Tue Jul  5 00:00:00 2022,82,748,9,113,28,180,42,427
Wed Jul  6 00:00:00 2022,54,554,12,89,17,135,21,307
Thu Jul  7 00:00:00 2022,37,470,3,90,14,110,18,244
Fri Jul  8 00:00:00 2022,41,594,8,92,17,154,13,324
Mon Jul 11 00:00:00 2022,57,764,9,113,16,175,28,444
Tue Jul 12 00:00:00 2022,39,529,10,96,8,132,18,276
Wed Jul 13 00:00:00 2022,33,536,12,105,14,133,7,279
Thu Jul 14 00:00:00 2022,32,500,7,108,13,134,11,232
Fri Jul 15 00:00:00 2022,29,585,7,113,9,139,12,291
Mon Jul 18 00:00:00 2022,56,820,18,148,15,189,21,447
Tue Jul 19 00:00:00 2022,27,557,6,113,7,110,12,297
Wed Jul 20 00:00:00 2022,35,481,9,91,7,95,14,267
Thu Jul 21 00:00:00 2022,25,535,3,120,12,127,10,259
Fri Jul 22 00:00:00 2022,35,629,8,101,9,144,17,342
Mon Jul 25 00:00:00 2022,55,823,12,163,10,156,28,461
Tue Jul 26 00:00:00 2022,36,534,10,113,6,114,16,278
Wed Jul 27 00:00:00 2022,32,470,8,83,11,127,13,230
Thu Jul 28 00:00:00 2022,35,487,7,100,9,106,16,245
Fri Jul 29 00:00:00 2022,41,594,14,123,10,124,15,321
Mon Aug  1 00:00:00 2022,67,689,18,115,21,155,27,398
Tue Aug  2 00:00:00 2022,46,455,11,68,11,101,20,255
Wed Aug  3 00:00:00 2022,31,368,3,60,5,84,20,201
Thu Aug  4 00:00:00 2022,26,401,4,62,7,99,15,221
Fri Aug  5 00:00:00 2022,21,468,6,96,4,88,11,265
Mon Aug  8 00:00:00 2022,43,575,9,65,7,104,25,379
Tue Aug  9 00:00:00 2022,20,401,6,79,4,72,9,231
Wed Aug 10 00:00:00 2022,37,400,10,84,9,72,16,228
Thu Aug 11 00:00:00 2022,29,415,12,117,4,67,12,212
Fri Aug 12 00:00:00 2022,21,387,7,60,8,62,5,255
Mon Aug 15 00:00:00 2022,28,346,6,38,7,81,14,208
Tue Aug 16 00:00:00 2022,25,286,11,60,7,71,7,144
Wed Aug 17 00:00:00 2022,19,260,8,72,7,65,2,113
Thu Aug 18 00:00:00 2022,22,257,2,65,6,56,12,129
Fri Aug 19 00:00:00 2022,24,359,7,103,6,68,10,174
Mon Aug 22 00:00:00 2022,80,753,51,417,15,117,13,206
Tue Aug 23 00:00:00 2022,83,562,64,282,11,102,8,161
Wed Aug 24 00:00:00 2022,112,548,82,328,15,75,13,138
Thu Aug 25 00:00:00 2022,91,556,71,320,12,91,8,131
Fri Aug 26 00:00:00 2022,100,761,86,441,6,107,8,200
Mon Aug 29 00:00:00 2022,386,1511,332,1042,33,170,21,289
Tue Aug 30 00:00:00 2022,325,1439,286,1108,34,145,5,170
Wed Aug 31 00:00:00 2022,291,1558,254,1184,24,168,12,184
Thu Sep  1 00:00:00 2022,206,1495,184,1133,18,175,4,173
Fri Sep  2 00:00:00 2022,167,1568,138,1111,20,209,9,232
Tue Sep  6 00:00:00 2022,157,1392,104,910,32,177,18,271
Wed Sep  7 00:00:00 2022,70,970,42,626,16,125,10,189
Thu Sep  8 00:00:00 2022,48,808,34,528,11,120,2,143
Fri Sep  9 00:00:00 2022,41,885,26,530,7,133,6,200
Mon Sep 12 00:00:00 2022,52,874,26,504,10,111,16,232
Tue Sep 13 00:00:00 2022,23,647,11,370,7,91,5,160
Wed Sep 14 00:00:00 2022,29,611,11,365,11,89,5,140
Thu Sep 15 00:00:00 2022,17,539,8,314,4,73,4,137
Fri Sep 16 00:00:00 2022,11,622,3,363,2,70,6,177
Mon Sep 19 00:00:00 2022,16,629,6,371,3,74,6,173
Tue Sep 20 00:00:00 2022,12,511,5,326,6,53,1,127
Wed Sep 21 00:00:00 2022,12,512,4,315,2,54,5,131
Thu Sep 22 00:00:00 2022,4,441,3,266,1,53,0,110
Fri Sep 23 00:00:00 2022,8,481,2,277,0,55,5,141
Mon Sep 26 00:00:00 2022,15,642,6,358,3,83,4,189
Tue Sep 27 00:00:00 2022,14,476,0,272,6,55,7,127
Wed Sep 28 00:00:00 2022,13,467,5,303,1,49,7,103
Thu Sep 29 00:00:00 2022,4,395,1,242,2,39,1,102
Fri Sep 30 00:00:00 2022,8,477,1,275,4,59,3,133
Mon Oct  3 00:00:00 2022,10,526,5,310,3,64,2,143
Tue Oct  4 00:00:00 2022,13,485,3,304,2,52,6,123
Wed Oct  5 00:00:00 2022,11,471,4,284,4,61,3,116
Thu Oct  6 00:00:00 2022,7,418,1,223,4,64,2,117
Fri Oct  7 00:00:00 2022,8,438,1,234,1,58,6,136
Mon Oct 10 00:00:00 2022,16,552,7,316,0,58,7,162
Tue Oct 11 00:00:00 2022,15,436,6,272,2,44,5,100
Wed Oct 12 00:00:00 2022,21,486,6,283,0,39,10,115
Thu Oct 13 00:00:00 2022,21,582,5,288,4,53,10,169
Fri Oct 14 00:00:00 2022,4,440,0,218,1,56,2,139
